,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5,0.0008530139923095704,0.00011407210605134972,0.00037441253662109377,5.4068497873801246e-05,gini,5,random,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'random'}",0.9298245614035088,1.0,0.9824561403508771,0.9824561403508771,0.9298245614035088,0.9649122807017545,0.029356492159090353,1
12,0.004221868515014648,0.00041304022739395354,0.0004936695098876953,3.014485920234831e-05,gini,9,best,"{'criterion': 'gini', 'max_depth': 9, 'splitter': 'best'}",0.9298245614035088,0.9473684210526315,1.0,0.9824561403508771,0.9649122807017544,0.9649122807017545,0.024810764252159563,1
0,0.0030745983123779295,0.00010970430329008318,0.0005241870880126953,7.014217869200516e-05,gini,3,best,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best'}",0.9298245614035088,0.9473684210526315,1.0,0.9824561403508771,0.9473684210526315,0.9614035087719298,0.025784102555612403,3
2,0.003002357482910156,0.0004820566472362641,0.00040149688720703125,6.106029678179101e-05,gini,4,best,"{'criterion': 'gini', 'max_depth': 4, 'splitter': 'best'}",0.9298245614035088,0.9473684210526315,1.0,0.9824561403508771,0.9473684210526315,0.9614035087719298,0.025784102555612403,3
14,0.003296232223510742,0.0004804740635596364,0.00038971900939941404,5.828553617509113e-05,entropy,3,best,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best'}",0.9298245614035088,0.9473684210526315,1.0,1.0,0.9298245614035088,0.9614035087719298,0.03215842592951467,3
4,0.003275489807128906,0.0004560517945436529,0.0004791736602783203,0.0001101259933341841,gini,5,best,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}",0.9298245614035088,0.9473684210526315,1.0,0.9824561403508771,0.9473684210526315,0.9614035087719298,0.025784102555612403,3
8,0.0031278133392333984,0.000510534761652484,0.0003600597381591797,3.849685667841545e-05,gini,7,best,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}",0.9298245614035088,0.9473684210526315,1.0,0.9824561403508771,0.9473684210526315,0.9614035087719298,0.025784102555612403,3
21,0.0009121417999267579,0.00010978717618373292,0.0004601478576660156,5.562607425483406e-05,entropy,6,random,"{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'random'}",0.9473684210526315,0.9298245614035088,0.9473684210526315,1.0,0.9649122807017544,0.9578947368421054,0.02379764906359744,8
26,0.0033650875091552736,0.0003473573750460009,0.00046668052673339846,8.333506636595577e-05,entropy,9,best,"{'criterion': 'entropy', 'max_depth': 9, 'splitter': 'best'}",0.9298245614035088,0.9298245614035088,1.0,0.9824561403508771,0.9473684210526315,0.9578947368421054,0.028505397911003365,8
10,0.003271007537841797,0.0002988259985699488,0.0004558086395263672,6.773645965394918e-05,gini,8,best,"{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}",0.9298245614035088,0.9298245614035088,1.0,0.9824561403508771,0.9473684210526315,0.9578947368421054,0.028505397911003365,8
6,0.0037226200103759764,0.00042694251842928196,0.00045299530029296875,4.1997688180610416e-05,gini,6,best,"{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}",0.9298245614035088,0.9298245614035088,0.9824561403508771,0.9824561403508771,0.9649122807017544,0.9578947368421054,0.023797649063597406,8
24,0.0034209728240966798,0.0003101165218827342,0.0004505634307861328,8.618617615740022e-05,entropy,8,best,"{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'best'}",0.9298245614035088,0.9122807017543859,1.0,1.0,0.9473684210526315,0.9578947368421054,0.03612501803855089,8
20,0.003229093551635742,0.0001396676630250563,0.0004333972930908203,6.376480717416137e-05,entropy,6,best,"{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}",0.9298245614035088,0.9122807017543859,1.0,1.0,0.9473684210526315,0.9578947368421054,0.03612501803855089,8
19,0.0008752822875976562,0.00015878236323466102,0.0003462791442871094,2.4931151630282663e-05,entropy,5,random,"{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'random'}",0.9473684210526315,0.9298245614035088,0.9649122807017544,0.9824561403508771,0.9473684210526315,0.9543859649122807,0.01789129653892204,14
16,0.0029813289642333985,7.599213628128008e-05,0.0003691196441650391,4.246592975106491e-05,entropy,4,best,"{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'best'}",0.9122807017543859,0.9122807017543859,1.0,1.0,0.9473684210526315,0.9543859649122807,0.03938586722919941,14
7,0.0007722377777099609,9.12264383633963e-05,0.0003392219543457031,4.964271020239012e-05,gini,6,random,"{'criterion': 'gini', 'max_depth': 6, 'splitter': 'random'}",0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9298245614035088,0.9508771929824562,0.017189401703741586,16
17,0.0007524967193603515,0.0001448045716460181,0.00030775070190429686,4.804271028718937e-05,entropy,4,random,"{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'random'}",0.8947368421052632,0.9298245614035088,0.9824561403508771,1.0,0.9473684210526315,0.9508771929824562,0.03746343246326775,16
9,0.000842142105102539,0.00019055115674395705,0.0003124713897705078,4.4009925690872905e-05,gini,7,random,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}",0.9473684210526315,0.8947368421052632,1.0,0.9649122807017544,0.9473684210526315,0.9508771929824562,0.03401880601695669,16
11,0.0009269237518310547,0.00017053442157368296,0.0003864288330078125,7.745549994020356e-05,gini,8,random,"{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}",0.9122807017543859,0.9298245614035088,0.9824561403508771,0.9824561403508771,0.9298245614035088,0.9473684210526315,0.029356492159090357,19
22,0.0031923770904541014,0.0001668188338991949,0.0004451751708984375,9.137267546107315e-05,entropy,7,best,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'best'}",0.9298245614035088,0.9122807017543859,0.9824561403508771,0.9824561403508771,0.9298245614035088,0.9473684210526315,0.029356492159090357,19
18,0.0034953594207763673,0.0004939780403736345,0.00043349266052246095,0.00010413684678524816,entropy,5,best,"{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}",0.9298245614035088,0.9122807017543859,1.0,0.9649122807017544,0.9298245614035088,0.9473684210526315,0.03138341021052338,19
27,0.0008860588073730469,9.754060439409065e-05,0.00036835670471191406,7.571102013595189e-05,entropy,9,random,"{'criterion': 'entropy', 'max_depth': 9, 'splitter': 'random'}",0.9473684210526315,0.9122807017543859,0.9649122807017544,0.9649122807017544,0.9298245614035088,0.9438596491228071,0.020459480332790544,22
3,0.0009662628173828125,0.00016620743129333227,0.00039577484130859375,6.706422639410627e-05,gini,4,random,"{'criterion': 'gini', 'max_depth': 4, 'splitter': 'random'}",0.9473684210526315,0.9298245614035088,0.9824561403508771,0.9824561403508771,0.8771929824561403,0.9438596491228071,0.039072030616351026,22
15,0.0008058547973632812,0.0001913368143970939,0.00040373802185058596,8.10828743841226e-05,entropy,3,random,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random'}",0.9473684210526315,0.9298245614035088,0.9473684210526315,0.9824561403508771,0.9122807017543859,0.9438596491228071,0.023274559932318587,22
13,0.00091094970703125,0.00014391656406806343,0.0004000663757324219,7.714261465152111e-05,gini,9,random,"{'criterion': 'gini', 'max_depth': 9, 'splitter': 'random'}",0.8947368421052632,0.9122807017543859,0.9649122807017544,0.9649122807017544,0.9824561403508771,0.9438596491228068,0.03401880601695669,25
23,0.0009648323059082032,0.00013984792490902002,0.000397491455078125,5.841545175633251e-05,entropy,7,random,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random'}",0.9473684210526315,0.9298245614035088,0.9298245614035088,0.9824561403508771,0.9122807017543859,0.9403508771929824,0.02379764906359742,26
25,0.0011993408203125,8.0688484091982e-05,0.0004475116729736328,5.6609227001407756e-05,entropy,8,random,"{'criterion': 'entropy', 'max_depth': 8, 'splitter': 'random'}",0.9473684210526315,0.8771929824561403,0.9473684210526315,0.9824561403508771,0.9122807017543859,0.9333333333333332,0.0357825930778441,27
1,0.0009870052337646485,9.11276106290235e-05,0.0005240440368652344,7.433599193479109e-05,gini,3,random,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random'}",0.8771929824561403,0.8947368421052632,0.9473684210526315,0.9649122807017544,0.9473684210526315,0.9263157894736842,0.0340188060169567,28
