,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsclassifier__n_neighbors,param_kneighborsclassifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4,0.0021158695220947266,6.392243543317337e-05,0.005381155014038086,0.0001998645414825892,5,uniform,"{'kneighborsclassifier__n_neighbors': 5, 'kneighborsclassifier__weights': 'uniform'}",0.9824561403508771,0.9649122807017544,0.9824561403508771,1.0,0.9824561403508771,0.982456140350877,0.011095711088310103,1
5,0.0019707679748535156,7.560177579807098e-05,0.0028650760650634766,0.00011099710037081712,5,distance,"{'kneighborsclassifier__n_neighbors': 5, 'kneighborsclassifier__weights': 'distance'}",0.9824561403508771,0.9649122807017544,0.9824561403508771,1.0,0.9824561403508771,0.982456140350877,0.011095711088310103,1
8,0.0016774654388427735,0.0002920381924943085,0.004469728469848633,0.0008049259334509908,9,uniform,"{'kneighborsclassifier__n_neighbors': 9, 'kneighborsclassifier__weights': 'uniform'}",0.9649122807017544,0.9649122807017544,0.9824561403508771,1.0,0.9824561403508771,0.9789473684210528,0.013128622409733122,3
9,0.0020746707916259764,0.0001350159508664065,0.0027622222900390626,0.0002694122601389374,9,distance,"{'kneighborsclassifier__n_neighbors': 9, 'kneighborsclassifier__weights': 'distance'}",0.9649122807017544,0.9649122807017544,0.9824561403508771,1.0,0.9824561403508771,0.9789473684210528,0.013128622409733122,3
0,0.0028654098510742187,0.000647444053550632,0.005803346633911133,0.0007263670306968148,1,uniform,"{'kneighborsclassifier__n_neighbors': 1, 'kneighborsclassifier__weights': 'uniform'}",0.9649122807017544,0.9824561403508771,0.9824561403508771,1.0,0.9649122807017544,0.9789473684210526,0.013128622409733122,5
1,0.0031072616577148436,0.0007914157748419611,0.003335428237915039,0.0006104268347995401,1,distance,"{'kneighborsclassifier__n_neighbors': 1, 'kneighborsclassifier__weights': 'distance'}",0.9649122807017544,0.9824561403508771,0.9824561403508771,1.0,0.9649122807017544,0.9789473684210526,0.013128622409733122,5
2,0.0025370121002197266,0.0005881786056506177,0.005299282073974609,0.0012458848993305764,3,uniform,"{'kneighborsclassifier__n_neighbors': 3, 'kneighborsclassifier__weights': 'uniform'}",0.9824561403508771,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9789473684210526,0.013128622409733122,5
3,0.0020391464233398436,0.00018230448060512985,0.002764892578125,0.00016252995761447685,3,distance,"{'kneighborsclassifier__n_neighbors': 3, 'kneighborsclassifier__weights': 'distance'}",0.9824561403508771,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9789473684210526,0.013128622409733122,5
6,0.001960897445678711,0.00016744512782980957,0.004921388626098633,0.0003206912429038588,7,uniform,"{'kneighborsclassifier__n_neighbors': 7, 'kneighborsclassifier__weights': 'uniform'}",0.9473684210526315,0.9649122807017544,0.9824561403508771,1.0,1.0,0.9789473684210526,0.020459480332790544,5
7,0.0018671035766601562,0.00010064974096295376,0.002816629409790039,0.00045998885317953417,7,distance,"{'kneighborsclassifier__n_neighbors': 7, 'kneighborsclassifier__weights': 'distance'}",0.9473684210526315,0.9649122807017544,0.9824561403508771,1.0,1.0,0.9789473684210526,0.020459480332790544,5
19,0.0017097949981689452,0.00025737139735442313,0.0028144359588623048,0.0004720208500114709,19,distance,"{'kneighborsclassifier__n_neighbors': 19, 'kneighborsclassifier__weights': 'distance'}",0.9649122807017544,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9754385964912281,0.014035087719298239,11
17,0.001783132553100586,0.00020425596716204053,0.0029102325439453124,0.00018640287257928152,17,distance,"{'kneighborsclassifier__n_neighbors': 17, 'kneighborsclassifier__weights': 'distance'}",0.9649122807017544,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9754385964912281,0.014035087719298239,11
16,0.0017466545104980469,0.00021855226573694824,0.004947853088378906,0.0008786766878107035,17,uniform,"{'kneighborsclassifier__n_neighbors': 17, 'kneighborsclassifier__weights': 'uniform'}",0.9649122807017544,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9754385964912281,0.014035087719298239,11
15,0.0015222549438476563,0.00017936661820414746,0.002377748489379883,0.00035305777984250214,15,distance,"{'kneighborsclassifier__n_neighbors': 15, 'kneighborsclassifier__weights': 'distance'}",0.9649122807017544,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9754385964912281,0.014035087719298239,11
11,0.0016621112823486327,0.00027468467624557275,0.002429962158203125,0.0003513161311110412,11,distance,"{'kneighborsclassifier__n_neighbors': 11, 'kneighborsclassifier__weights': 'distance'}",0.9649122807017544,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9754385964912281,0.014035087719298239,11
13,0.001655721664428711,0.00035763402297764486,0.0022461414337158203,0.0003929515179352972,13,distance,"{'kneighborsclassifier__n_neighbors': 13, 'kneighborsclassifier__weights': 'distance'}",0.9649122807017544,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9754385964912281,0.014035087719298239,11
10,0.001805734634399414,0.0002447015402190077,0.004475164413452149,0.0006331922114007456,11,uniform,"{'kneighborsclassifier__n_neighbors': 11, 'kneighborsclassifier__weights': 'uniform'}",0.9649122807017544,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9754385964912281,0.014035087719298239,11
14,0.0014323711395263672,0.00021569002409536182,0.00408625602722168,0.0008852742602501541,15,uniform,"{'kneighborsclassifier__n_neighbors': 15, 'kneighborsclassifier__weights': 'uniform'}",0.9649122807017544,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9754385964912281,0.014035087719298239,11
12,0.001426839828491211,0.00011446968352874487,0.0037349700927734376,0.0005056427317236213,13,uniform,"{'kneighborsclassifier__n_neighbors': 13, 'kneighborsclassifier__weights': 'uniform'}",0.9649122807017544,0.9649122807017544,0.9824561403508771,1.0,0.9473684210526315,0.9719298245614036,0.01789129653892206,19
21,0.0017319202423095703,0.0002869923337314646,0.0027274131774902345,0.00041564696269390776,21,distance,"{'kneighborsclassifier__n_neighbors': 21, 'kneighborsclassifier__weights': 'distance'}",0.9473684210526315,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9719298245614034,0.01789129653892206,20
18,0.001980447769165039,4.026708406842689e-05,0.0052471160888671875,0.0002587670531815963,19,uniform,"{'kneighborsclassifier__n_neighbors': 19, 'kneighborsclassifier__weights': 'uniform'}",0.9473684210526315,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9719298245614034,0.01789129653892206,20
20,0.0016950130462646484,0.00020651743005069677,0.004663848876953125,0.0007555545877057294,21,uniform,"{'kneighborsclassifier__n_neighbors': 21, 'kneighborsclassifier__weights': 'uniform'}",0.9473684210526315,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9719298245614034,0.01789129653892206,20
23,0.0014713287353515625,0.00036641897933134624,0.002271604537963867,0.00036738266600674224,23,distance,"{'kneighborsclassifier__n_neighbors': 23, 'kneighborsclassifier__weights': 'distance'}",0.9473684210526315,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.9719298245614034,0.01789129653892206,20
25,0.0013552188873291015,0.00031356013159090397,0.002236747741699219,0.00040957238145278903,25,distance,"{'kneighborsclassifier__n_neighbors': 25, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9649122807017544,0.9824561403508771,1.0,0.9649122807017544,0.968421052631579,0.023274559932318587,24
27,0.001960945129394531,9.054676855736881e-05,0.0031042098999023438,0.0001498453467236724,27,distance,"{'kneighborsclassifier__n_neighbors': 27, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9649122807017544,0.9824561403508771,1.0,0.9473684210526315,0.9649122807017545,0.024810764252159563,25
22,0.0013933658599853515,0.0002848540494162471,0.0038109302520751955,0.0007350421732873467,23,uniform,"{'kneighborsclassifier__n_neighbors': 23, 'kneighborsclassifier__weights': 'uniform'}",0.9473684210526315,0.9473684210526315,0.9824561403508771,1.0,0.9473684210526315,0.9649122807017545,0.02219142217662022,25
29,0.001804208755493164,9.660897342767598e-05,0.0031212806701660157,0.00012663439382259423,29,distance,"{'kneighborsclassifier__n_neighbors': 29, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9473684210526315,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.025784102555612403,27
24,0.0013278007507324218,0.00013472016020494803,0.0033980369567871093,0.00012648995221678524,25,uniform,"{'kneighborsclassifier__n_neighbors': 25, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9473684210526315,0.9824561403508771,1.0,0.9298245614035088,0.9578947368421054,0.028505397911003365,28
26,0.0015791893005371095,0.00033636397329825536,0.004517269134521484,0.001014552521040045,27,uniform,"{'kneighborsclassifier__n_neighbors': 27, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9473684210526315,0.9824561403508771,1.0,0.9298245614035088,0.9578947368421054,0.028505397911003365,28
28,0.001472616195678711,0.00021226745525843927,0.004612350463867187,0.0009232445967654281,29,uniform,"{'kneighborsclassifier__n_neighbors': 29, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9473684210526315,0.9824561403508771,1.0,0.9298245614035088,0.9578947368421054,0.028505397911003365,28
30,0.0020633220672607424,0.0005937638712872592,0.0052239418029785155,0.0008930504444380978,31,uniform,"{'kneighborsclassifier__n_neighbors': 31, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9473684210526315,0.9824561403508771,1.0,0.9298245614035088,0.9578947368421054,0.028505397911003365,28
31,0.0019654750823974608,8.990554394890591e-05,0.0032644748687744142,0.00010160004588464444,31,distance,"{'kneighborsclassifier__n_neighbors': 31, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9473684210526315,0.9824561403508771,1.0,0.9298245614035088,0.9578947368421054,0.028505397911003365,28
33,0.0015332221984863282,0.0003430141412954801,0.002606916427612305,0.00036470488470444846,33,distance,"{'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9473684210526315,0.9824561403508771,1.0,0.9298245614035088,0.9578947368421054,0.028505397911003365,28
35,0.00196533203125,0.00023088533983564938,0.0033240318298339844,9.598413387265794e-05,35,distance,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9298245614035088,0.9543859649122807,0.023797649063597406,34
39,0.001707315444946289,0.00021256141531189043,0.003172779083251953,0.00029064469080036705,39,distance,"{'kneighborsclassifier__n_neighbors': 39, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9473684210526315,0.9824561403508771,0.9649122807017544,0.9298245614035088,0.9508771929824562,0.020459480332790513,35
32,0.0017850875854492187,0.00026302073119827113,0.005580711364746094,0.00016995545288357576,33,uniform,"{'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9298245614035088,0.9824561403508771,0.9824561403508771,0.9298245614035088,0.9508771929824562,0.025784102555612372,35
37,0.0018140792846679688,4.7251988060788764e-05,0.003358793258666992,7.048233896162165e-05,37,distance,"{'kneighborsclassifier__n_neighbors': 37, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9298245614035088,0.9824561403508771,0.9649122807017544,0.9298245614035088,0.9473684210526315,0.02219142217662019,37
34,0.0018990039825439453,0.00019009793747948528,0.005367422103881836,0.000730166240165274,35,uniform,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9298245614035088,0.9824561403508771,0.9473684210526315,0.9298245614035088,0.9438596491228071,0.020459480332790506,38
38,0.001745462417602539,0.0003057562998868612,0.005086708068847656,0.0005968514994792249,39,uniform,"{'kneighborsclassifier__n_neighbors': 39, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9298245614035088,0.9824561403508771,0.9473684210526315,0.9298245614035088,0.9438596491228071,0.020459480332790506,38
41,0.0016746044158935547,0.00030133363441808527,0.002891731262207031,0.0006327176922336004,41,distance,"{'kneighborsclassifier__n_neighbors': 41, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9122807017543859,0.9824561403508771,0.9649122807017544,0.9298245614035088,0.9438596491228071,0.0257841025556124,38
43,0.0014126300811767578,0.00016996452321558272,0.002455329895019531,0.00030924287101212955,43,distance,"{'kneighborsclassifier__n_neighbors': 43, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9298245614035088,0.9824561403508771,0.9473684210526315,0.9298245614035088,0.9438596491228071,0.020459480332790506,38
47,0.0015711307525634766,0.0002744262431069913,0.003026533126831055,0.0003305643257265989,47,distance,"{'kneighborsclassifier__n_neighbors': 47, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9298245614035088,0.9824561403508771,0.9473684210526315,0.9298245614035088,0.9438596491228071,0.020459480332790506,38
45,0.0015976428985595703,0.00028886919408601666,0.0032196998596191405,0.00024965499663098404,45,distance,"{'kneighborsclassifier__n_neighbors': 45, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9298245614035088,0.9824561403508771,0.9473684210526315,0.9122807017543859,0.9403508771929824,0.02379764906359742,43
49,0.001913309097290039,0.0002902409898283422,0.002948951721191406,0.000496615276049051,49,distance,"{'kneighborsclassifier__n_neighbors': 49, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9298245614035088,0.9824561403508771,0.9473684210526315,0.9122807017543859,0.9403508771929824,0.02379764906359742,43
36,0.0017132759094238281,0.0003305341834276224,0.004959869384765625,0.0010982843950080633,37,uniform,"{'kneighborsclassifier__n_neighbors': 37, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9122807017543859,0.9824561403508771,0.9473684210526315,0.9298245614035088,0.9403508771929824,0.02379764906359742,43
51,0.0012691974639892577,3.1228137937267484e-05,0.002342510223388672,9.409453148368222e-05,51,distance,"{'kneighborsclassifier__n_neighbors': 51, 'kneighborsclassifier__weights': 'distance'}",0.9298245614035088,0.9298245614035088,0.9824561403508771,0.9473684210526315,0.9122807017543859,0.9403508771929824,0.02379764906359742,43
40,0.001622486114501953,0.00033870409623705533,0.0050503253936767575,0.0008988799659605506,41,uniform,"{'kneighborsclassifier__n_neighbors': 41, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9122807017543859,0.9824561403508771,0.9473684210526315,0.9122807017543859,0.9368421052631579,0.02625724481946625,47
42,0.0017565250396728515,0.000316633718256828,0.004562854766845703,0.000774924275625006,43,uniform,"{'kneighborsclassifier__n_neighbors': 43, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9298245614035088,0.9824561403508771,0.9298245614035088,0.9122807017543859,0.9368421052631579,0.02379764906359742,47
44,0.0017172336578369141,0.0002623040683171876,0.0050753593444824215,0.0008020083991554466,45,uniform,"{'kneighborsclassifier__n_neighbors': 45, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9298245614035088,0.9649122807017544,0.9473684210526315,0.9122807017543859,0.9368421052631579,0.01789129653892206,47
48,0.0014127731323242188,0.00019988002414821545,0.004594659805297852,0.0005461821655317641,49,uniform,"{'kneighborsclassifier__n_neighbors': 49, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9298245614035088,0.9649122807017544,0.9473684210526315,0.9122807017543859,0.9368421052631579,0.01789129653892206,47
46,0.0018062591552734375,0.00021756799878861862,0.0051287651062011715,0.0004547654400834509,47,uniform,"{'kneighborsclassifier__n_neighbors': 47, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9298245614035088,0.9649122807017544,0.9473684210526315,0.8947368421052632,0.9333333333333332,0.023274559932318587,51
50,0.0019268035888671876,0.000264420096201864,0.005222225189208984,0.0009086731873640036,51,uniform,"{'kneighborsclassifier__n_neighbors': 51, 'kneighborsclassifier__weights': 'uniform'}",0.9298245614035088,0.9298245614035088,0.9649122807017544,0.9298245614035088,0.8947368421052632,0.9298245614035088,0.022191422176620207,52
